,category,word,year
898,loyalty+,community,1980
899,loyalty+,community,1990
900,loyalty+,companion,1800
901,loyalty+,companion,1810
902,loyalty+,companion,1820
903,loyalty+,companion,1830
904,loyalty+,companion,1840
905,loyalty+,companion,1850
906,loyalty+,companion,1860
907,loyalty+,companion,1870
908,loyalty+,companion,1880
909,loyalty+,companion,1890
910,loyalty+,companion,1900
911,loyalty+,companion,1910
912,loyalty+,companion,1920
913,loyalty+,companion,1930
914,loyalty+,companion,1940
915,loyalty+,companion,1950
916,loyalty+,companion,1960
917,loyalty+,companion,1970
918,loyalty+,companion,1980
919,loyalty+,companion,1990
920,loyalty+,comrades,1800
921,loyalty+,comrades,1810
922,loyalty+,comrades,1820
923,loyalty+,comrades,1830
924,loyalty+,comrades,1840
925,loyalty+,comrades,1850
926,loyalty+,comrades,1860
927,loyalty+,comrades,1870
928,loyalty+,comrades,1880
929,loyalty+,comrades,1890
930,loyalty+,comrades,1900
931,loyalty+,comrades,1910
932,loyalty+,comrades,1920
933,loyalty+,comrades,1930
934,loyalty+,comrades,1940
935,loyalty+,comrades,1950
936,loyalty+,comrades,1960
937,loyalty+,comrades,1970
938,loyalty+,comrades,1980
939,loyalty+,comrades,1990
940,loyalty+,collective,1800
941,loyalty+,collective,1810
942,loyalty+,collective,1820
943,loyalty+,collective,1830
944,loyalty+,collective,1840
945,loyalty+,collective,1850
946,loyalty+,collective,1860
947,loyalty+,collective,1870
948,loyalty+,collective,1880
949,loyalty+,collective,1890
950,loyalty+,collective,1900
951,loyalty+,collective,1910
952,loyalty+,collective,1920
953,loyalty+,collective,1930
954,loyalty+,collective,1940
955,loyalty+,collective,1950
956,loyalty+,collective,1960
957,loyalty+,collective,1970
958,loyalty+,collective,1980
959,loyalty+,collective,1990
960,loyalty+,joint,1800
961,loyalty+,joint,1810
962,loyalty+,joint,1820
963,loyalty+,joint,1830
964,loyalty+,joint,1840
965,loyalty+,joint,1850
966,loyalty+,joint,1860
967,loyalty+,joint,1870
968,loyalty+,joint,1880
